University of Tennessee Computer Science Masters October 28;;;;;;;;;;;;;;;
University of Sussex Computer Science Masters October 22; 2025 Interview on 16 Dec Total comments Open options Fall 2026 International GPA 2.9;;;;;;;;;;;;;;
Tamkang University Computer Science Masters October 20; 2025 Accepted on 14 Jun Total comments Open options Fall 2026 International GRE 320 GRE V 156 GRE AW 164 GPA 2.45;;;;;;;;;;;;;;
Nanjing University of Posts and Telecommunications Electrical Engineering and Computer Science Masters October 02; 2025 Accepted on 25 Feb Total comments Open options Fall 2026 International GPA 3.09;;;;;;;;;;;;;;
Visvesvaraya Technological University Computer Science Masters September 29; 2025 Wait listed on 29 Sep Total comments Open options Fall 2026 International GPA 2.6;;;;;;;;;;;;;;
University of Southern California Computer Science Masters September 13; 2025 Accepted on 12 Sep Total comments Open options Spring 2026 American GPA 3.60 No GRE. 2 co-author papers; 1 first-author paper currently under review;;;;;;;;;;;;;
Patuakhali Science and Technology University Computer Science Masters September 11; 2025 Accepted on 11 Sep Total comments Open options Fall 2025 International GPA 3.4;;;;;;;;;;;;;;
42 US Computer Science Masters September 02; 2025 Rejected on 2 Sep Total comments Open options Fall 2026 International GPA 3.22;;;;;;;;;;;;;;
University of Victoria Computer Science and Engineering Masters September 01; 2025 Accepted on 1 Sep Total comments Open options Spring 2026 International GPA 3.43;;;;;;;;;;;;;;
University of Manitoba Computer Science and Engineering Masters September 01; 2025 Accepted on 1 Sep Total comments Open options Spring 2026 International GPA 3.43;;;;;;;;;;;;;;
University of Alberta Computer Science Masters September 01; 2025 Accepted on 1 Sep Total comments Open options Spring 2026 International GPA 3.43;;;;;;;;;;;;;;
University of California (UCLA) Computer Science Masters August 29; 2025 Accepted on 21 Mar Total comments Open options Fall 2025 American GPA 3.85 Accepted through undergraduate guaranteed admission (minimum 3.75 GPA);;;;;;;;;;;;;;
University of Mumbai Computer Science Masters August 06; 2025 Accepted on 6 Aug Total comments Open options Fall 2026 International GRE 330 GPA 3.8;;;;;;;;;;;;;;
Johns Hopkins University Computer Science Masters July 16; 2025 Accepted on 14 Jul Total comments Open options Fall 2025 American GPA 2.4 1 YOE @ FAANG; low GPA due to majoring in multiple STEM degrees at Public undergrad;;;;;;;;;;;;;
University of Arizona Computer Science Masters July 10; 2025 Accepted on 10 Jul Total comments Open options Fall 2026 American GRE 170 GRE V 170 GRE AW 36 GPA 3.85 This is not a real application. I am using this site in my data science project for my portfolio for grad school but did not want to risk exposing anybody's real results when I demo how I pulled data from this site so I am submitting this to have my own submission to show in my demo.;;;;;;;;;;;;;;
University of Waterloo Computer Science Masters April 21; 2025 Rejected on 21 Apr Total comments Open options Fall 2025 International GPA 3.70;;;;;;;;;;;;;;
University of Southern California Computer Science Masters April 21; 2025 Rejected on 20 Apr Total comments Open options Fall 2025 American GPA 3.50;;;;;;;;;;;;;;
University of California (UCLA) Computer Science Masters April 20; 2025 Rejected on 18 Apr Total comments Open options Fall 2025 International GRE 326 GRE V 158 GRE AW 4.50 GPA 3.80;;;;;;;;;;;;;;
University of British Columbia Computer Science Masters April 19; 2025 Rejected on 17 Apr Total comments Open options Fall 2025 International GPA 3.94 Domestic applicant; 1 publication; various research experiences throughout undergrad;;;;;;;;;;;;
MILA University Computer Science Masters April 19; 2025 Accepted on 3 Apr Total comments Open options Fall 2025 International GPA 3.50 Got accepted by a core member at UdeM; the reason for acceptance mainly because I got one paper (preprint) that's interesting to the professor and only discuss about this; the professor don't care much about my other works (accepted to top conference);;;;;;;;;;;;
University of California (UCLA) Computer Science Masters April 18; 2025 Rejected on 18 Apr Total comments Open options Fall 2025 American GPA 3.88 Had 3 internships from National Lab; One from Top Biomedical Company;;;;;;;;;;;;;
University of California (UCLA) Computer Science Masters April 18; 2025 Rejected on 18 Apr Total comments Open options Fall 2025 International GPA 3.72 6 years professional experience in related fields; 1 international publication;;;;;;;;;;;;;
Courant Institute of Mathematical Sciences Computer Science Masters April 18; 2025 Accepted on 15 Apr Total comments Open options Fall 2025 International GRE 319 GRE V 154 GPA 3.50 Cgpa 8.5/10; tier 3 indian uni; I got in due to my research; 1 kbs paper; 1 iclr tiny paper and 1 cvpr workshop paper. 1-2 year experience as research engineer; did some good projects there too. I also reviewed for core A/A* conference main track. I also got an outstanding Reviewer award at one of those; idk if mattered;;;;;;;;
University of British Columbia Computer Science Masters April 18; 2025 Rejected on 18 Apr Total comments Open options Fall 2025 International GPA 3.81;;;;;;;;;;;;;;
The University of Texas at Austin Computer Science Masters April 18; 2025 Rejected on 17 Apr Total comments Open options Fall 2025 International GPA 3.91;;;;;;;;;;;;;;
Ecole Polytechnique Federale De Lausanne (EPFL) Computer Science Masters April 17; 2025 Accepted on 8 Apr Total comments Open options Fall 2025 International GPA 3.93;;;;;;;;;;;;;;
ETH Zurich Computer Science Masters April 17; 2025 Accepted on 15 Mar Total comments Open options Fall 2025 International GPA 3.93;;;;;;;;;;;;;;
Stanford University Computer Science Masters April 17; 2025 Rejected on 14 Mar Total comments Open options Fall 2025 International GPA 3.93;;;;;;;;;;;;;;
The University of Texas at Austin Computer Science Masters April 17; 2025 Rejected on 17 Apr Total comments Open options Fall 2025 International GPA 3.90 Bronze Medalist at Tier-1 university; good amount of research.;;;;;;;;;;;;;
University of California; San Diego (UCSD) Computer Science Masters April 17; 2025 Rejected on 17 Apr Total comments Open options Fall 2025 International GPA 3.91;;;;;;;;;;;;;
University of Waterloo Computer Science Masters April 16; 2025 Rejected on 16 Apr Total comments Open options Fall 2025 International GPA 3.94 MMAT; domestic applicant 1 publication Various research experiences throughout undergrad;;;;;;;;;;;;;
New York University Courant Computer Science Masters April 16; 2025 Accepted on 14 Apr Total comments Open options Fall 2025 American GRE 324 GRE V 154 GRE AW 99.99 GPA 3.50;;;;;;;;;;;;;;
University of Illinois Urbana-Champaign Computer Science Masters April 15; 2025 Accepted on 2 Apr Total comments Open options Fall 2025 American GPA 3.98 I was rejected from PhD then accepted for the MCS program;;;;;;;;;;;;;;
